# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P519
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P519;P380;P433;P218;P234;P608
30.0;0.0;2.0;0.0;0.0;1.0
26.0;0.0;4.0;0.0;0.0;1.0
16.0;0.0;5.0;0.0;0.0;0.0
16.0;0.0;3.0;0.0;0.0;0.0
23.0;0.0;2.0;0.0;1.0;0.0
30.0;0.0;2.0;0.0;0.0;0.0
21.0;0.0;1.0;0.0;0.0;1.0
18.0;0.0;5.0;1.0;0.0;0.0
27.0;0.0;3.0;0.0;0.0;1.0
23.0;0.0;5.0;0.0;0.0;0.0
16.0;0.0;6.0;0.0;0.0;0.0
24.0;0.0;5.0;0.0;0.0;1.0
22.0;0.0;2.0;0.0;0.0;0.0
27.0;0.0;7.0;0.0;0.0;0.0
8.0;0.0;4.0;0.0;0.0;0.0
26.0;0.0;5.0;0.0;0.0;1.0
27.0;0.0;2.0;0.0;0.0;0.0
24.0;0.0;3.0;0.0;0.0;0.0
16.0;0.0;3.0;0.0;0.0;1.0
23.0;0.0;3.0;0.0;0.0;0.0
20.0;0.0;2.0;0.0;0.0;0.0
19.0;0.0;5.0;0.0;1.0;0.0
22.0;0.0;10.0;0.0;0.0;0.0
15.0;0.0;8.0;0.0;0.0;0.0
18.0;0.0;6.0;0.0;0.0;1.0
25.0;0.0;5.0;0.0;0.0;1.0
16.0;0.0;1.0;0.0;0.0;0.0
16.0;0.0;1.0;0.0;0.0;0.0
13.0;0.0;2.0;0.0;0.0;0.0
11.0;0.0;4.0;0.0;0.0;0.0
9.0;0.0;3.0;0.0;0.0;0.0
16.0;0.0;4.0;0.0;0.0;0.0
10.0;0.0;3.0;0.0;0.0;1.0
21.0;0.0;3.0;0.0;0.0;0.0
16.0;0.0;3.0;0.0;0.0;0.0
15.0;0.0;4.0;0.0;0.0;0.0
4.0;0.0;3.0;0.0;0.0;0.0
16.0;0.0;2.0;0.0;0.0;1.0
21.0;0.0;10.0;0.0;0.0;0.0
15.0;0.0;7.0;1.0;0.0;0.0
24.0;0.0;2.0;0.0;0.0;0.0
21.0;0.0;1.0;0.0;0.0;0.0
18.0;0.0;2.0;0.0;0.0;0.0
16.0;0.0;5.0;0.0;0.0;2.0
25.0;0.0;6.0;0.0;0.0;0.0
16.0;0.0;2.0;0.0;0.0;1.0
13.0;0.0;3.0;0.0;0.0;0.0
7.0;0.0;4.0;0.0;0.0;1.0
16.0;0.0;3.0;1.0;0.0;3.0
7.0;1.0;7.0;0.0;0.0;0.0
22.0;0.0;3.0;0.0;2.0;0.0
21.0;2.0;16.0;2.0;0.0;5.0
4.0;0.0;1.0;0.0;0.0;0.0
30.0;2.0;16.0;2.0;2.0;5.0
1.0;0.0;0.07;0.0;0.0;0.2
0.85;0.0;0.2;0.0;0.0;0.2
0.46;0.0;0.27;0.0;0.0;0.0
0.46;0.0;0.13;0.0;0.0;0.0
0.73;0.0;0.07;0.0;0.5;0.0
1.0;0.0;0.07;0.0;0.0;0.0
0.65;0.0;0.0;0.0;0.0;0.2
0.54;0.0;0.27;0.5;0.0;0.0
0.88;0.0;0.13;0.0;0.0;0.2
0.73;0.0;0.27;0.0;0.0;0.0
0.46;0.0;0.33;0.0;0.0;0.0
0.77;0.0;0.27;0.0;0.0;0.2
0.69;0.0;0.07;0.0;0.0;0.0
0.88;0.0;0.4;0.0;0.0;0.0
0.15;0.0;0.2;0.0;0.0;0.0
0.85;0.0;0.27;0.0;0.0;0.2
0.88;0.0;0.07;0.0;0.0;0.0
0.77;0.0;0.13;0.0;0.0;0.0
0.46;0.0;0.13;0.0;0.0;0.2
0.73;0.0;0.13;0.0;0.0;0.0
0.62;0.0;0.07;0.0;0.0;0.0
0.58;0.0;0.27;0.0;0.5;0.0
0.69;0.0;0.6;0.0;0.0;0.0
0.42;0.0;0.47;0.0;0.0;0.0
0.54;0.0;0.33;0.0;0.0;0.2
0.81;0.0;0.27;0.0;0.0;0.2
0.46;0.0;0.0;0.0;0.0;0.0
0.46;0.0;0.0;0.0;0.0;0.0
0.35;0.0;0.07;0.0;0.0;0.0
0.27;0.0;0.2;0.0;0.0;0.0
0.19;0.0;0.13;0.0;0.0;0.0
0.46;0.0;0.2;0.0;0.0;0.0
0.23;0.0;0.13;0.0;0.0;0.2
0.65;0.0;0.13;0.0;0.0;0.0
0.46;0.0;0.13;0.0;0.0;0.0
0.42;0.0;0.2;0.0;0.0;0.0
0.0;0.0;0.13;0.0;0.0;0.0
0.46;0.0;0.07;0.0;0.0;0.2
0.65;0.0;0.6;0.0;0.0;0.0
0.42;0.0;0.4;0.5;0.0;0.0
0.77;0.0;0.07;0.0;0.0;0.0
0.65;0.0;0.0;0.0;0.0;0.0
0.54;0.0;0.07;0.0;0.0;0.0
0.46;0.0;0.27;0.0;0.0;0.4
0.81;0.0;0.33;0.0;0.0;0.0
0.46;0.0;0.07;0.0;0.0;0.2
0.35;0.0;0.13;0.0;0.0;0.0
0.12;0.0;0.2;0.0;0.0;0.2
0.46;0.0;0.13;0.5;0.0;0.6
0.12;0.5;0.4;0.0;0.0;0.0
0.69;0.0;0.13;0.0;1.0;0.0
0.65;1.0;1.0;1.0;0.0;1.0
