# max_attributes; 15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# description; sales transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# number_predictions; 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# predict; P62
# lag_parameter; 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# horizon; 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# name_prefix; transactions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# method; Hits_granger__graph(n_components=5)
# prediction_type; rolling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P62;P380;P433;P234;P218;P11
12.0;0.0;2.0;0.0;0.0;15.0
27.0;0.0;4.0;0.0;0.0;7.0
18.0;0.0;5.0;0.0;0.0;15.0
22.0;0.0;3.0;0.0;0.0;14.0
19.0;0.0;2.0;1.0;0.0;17.0
19.0;0.0;2.0;0.0;0.0;7.0
25.0;0.0;1.0;0.0;0.0;10.0
19.0;0.0;5.0;0.0;1.0;16.0
8.0;0.0;3.0;0.0;0.0;11.0
15.0;0.0;5.0;0.0;0.0;8.0
15.0;0.0;6.0;0.0;0.0;8.0
18.0;0.0;5.0;0.0;0.0;10.0
15.0;0.0;2.0;0.0;0.0;10.0
22.0;0.0;7.0;0.0;0.0;12.0
18.0;0.0;4.0;0.0;0.0;10.0
16.0;0.0;5.0;0.0;0.0;16.0
19.0;0.0;2.0;0.0;0.0;13.0
21.0;0.0;3.0;0.0;0.0;10.0
18.0;0.0;3.0;0.0;0.0;13.0
14.0;0.0;3.0;0.0;0.0;13.0
20.0;0.0;2.0;0.0;0.0;18.0
15.0;0.0;5.0;1.0;0.0;12.0
15.0;0.0;10.0;0.0;0.0;15.0
10.0;0.0;8.0;0.0;0.0;9.0
22.0;0.0;6.0;0.0;0.0;8.0
13.0;0.0;5.0;0.0;0.0;5.0
11.0;0.0;1.0;0.0;0.0;11.0
20.0;0.0;1.0;0.0;0.0;8.0
20.0;0.0;2.0;0.0;0.0;9.0
12.0;0.0;4.0;0.0;0.0;10.0
10.0;0.0;3.0;0.0;0.0;7.0
9.0;0.0;4.0;0.0;0.0;12.0
8.0;0.0;3.0;0.0;0.0;12.0
12.0;0.0;3.0;0.0;0.0;9.0
24.0;0.0;3.0;0.0;0.0;16.0
23.0;0.0;4.0;0.0;0.0;11.0
11.0;0.0;3.0;0.0;0.0;12.0
12.0;0.0;2.0;0.0;0.0;10.0
18.0;0.0;10.0;0.0;0.0;6.0
8.0;0.0;7.0;0.0;1.0;19.0
19.0;0.0;2.0;0.0;0.0;6.0
18.0;0.0;1.0;0.0;0.0;12.0
18.0;0.0;2.0;0.0;0.0;11.0
13.0;0.0;5.0;0.0;0.0;16.0
19.0;0.0;6.0;0.0;0.0;12.0
13.0;0.0;2.0;0.0;0.0;11.0
12.0;0.0;3.0;0.0;0.0;13.0
9.0;0.0;4.0;0.0;0.0;8.0
20.0;0.0;3.0;0.0;1.0;17.0
20.0;1.0;7.0;0.0;0.0;10.0
10.0;0.0;3.0;2.0;0.0;10.0
10.0;2.0;16.0;0.0;2.0;21.0
8.0;0.0;1.0;0.0;0.0;5.0
27.0;2.0;16.0;2.0;2.0;21.0
0.21;0.0;0.07;0.0;0.0;0.63
1.0;0.0;0.2;0.0;0.0;0.13
0.53;0.0;0.27;0.0;0.0;0.63
0.74;0.0;0.13;0.0;0.0;0.56
0.58;0.0;0.07;0.5;0.0;0.75
0.58;0.0;0.07;0.0;0.0;0.13
0.89;0.0;0.0;0.0;0.0;0.31
0.58;0.0;0.27;0.0;0.5;0.69
0.0;0.0;0.13;0.0;0.0;0.38
0.37;0.0;0.27;0.0;0.0;0.19
0.37;0.0;0.33;0.0;0.0;0.19
0.53;0.0;0.27;0.0;0.0;0.31
0.37;0.0;0.07;0.0;0.0;0.31
0.74;0.0;0.4;0.0;0.0;0.44
0.53;0.0;0.2;0.0;0.0;0.31
0.42;0.0;0.27;0.0;0.0;0.69
0.58;0.0;0.07;0.0;0.0;0.5
0.68;0.0;0.13;0.0;0.0;0.31
0.53;0.0;0.13;0.0;0.0;0.5
0.32;0.0;0.13;0.0;0.0;0.5
0.63;0.0;0.07;0.0;0.0;0.81
0.37;0.0;0.27;0.5;0.0;0.44
0.37;0.0;0.6;0.0;0.0;0.63
0.11;0.0;0.47;0.0;0.0;0.25
0.74;0.0;0.33;0.0;0.0;0.19
0.26;0.0;0.27;0.0;0.0;0.0
0.16;0.0;0.0;0.0;0.0;0.38
0.63;0.0;0.0;0.0;0.0;0.19
0.63;0.0;0.07;0.0;0.0;0.25
0.21;0.0;0.2;0.0;0.0;0.31
0.11;0.0;0.13;0.0;0.0;0.13
0.05;0.0;0.2;0.0;0.0;0.44
0.0;0.0;0.13;0.0;0.0;0.44
0.21;0.0;0.13;0.0;0.0;0.25
0.84;0.0;0.13;0.0;0.0;0.69
0.79;0.0;0.2;0.0;0.0;0.38
0.16;0.0;0.13;0.0;0.0;0.44
0.21;0.0;0.07;0.0;0.0;0.31
0.53;0.0;0.6;0.0;0.0;0.06
0.0;0.0;0.4;0.0;0.5;0.88
0.58;0.0;0.07;0.0;0.0;0.06
0.53;0.0;0.0;0.0;0.0;0.44
0.53;0.0;0.07;0.0;0.0;0.38
0.26;0.0;0.27;0.0;0.0;0.69
0.58;0.0;0.33;0.0;0.0;0.44
0.26;0.0;0.07;0.0;0.0;0.38
0.21;0.0;0.13;0.0;0.0;0.5
0.05;0.0;0.2;0.0;0.0;0.19
0.63;0.0;0.13;0.0;0.5;0.75
0.63;0.5;0.4;0.0;0.0;0.31
0.11;0.0;0.13;1.0;0.0;0.31
0.11;1.0;1.0;0.0;1.0;1.0
